auction_date_start,elevation,grade,auction_year,auction_week,month,season,bopf_price_lkr_per_kg,fx_lkr_per_usd_m,bopf_price_usd_per_kg,month_start_x,prod_high_kg_m,prod_low_kg_m,prod_med_kg_m,prod_total_kg_m,month_start_y,exports_qty_kg_m_total,fob_rs_per_kg_wavg_m,month_start,rain_mm_sum_w,gpr_index,gpr_high_risk_flag,kenya_bopf_price_usd_w,india_bopf_price_usd_w
1/6/2020,High,BOPF,2020,2,1,NE_Monsoon,1071.478914,181.3955857,5.906863221,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,2.980761505,2.603703277
1/6/2020,Medium,BOPF,2020,2,1,NE_Monsoon,852.2031315,181.3955857,4.698036769,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,2.980761505,2.603703277
1/6/2020,Low,BOPF,2020,2,1,NE_Monsoon,773.9769074,181.3955857,4.2667902,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,2.980761505,2.603703277
1/13/2020,High,BOPF,2020,3,1,NE_Monsoon,1000.913396,181.3828429,5.518236344,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.051889111,2.61350112
1/13/2020,Medium,BOPF,2020,3,1,NE_Monsoon,836.0538486,181.3828429,4.609332588,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.051889111,2.61350112
1/13/2020,Low,BOPF,2020,3,1,NE_Monsoon,772.5929508,181.3828429,4.259459928,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.051889111,2.61350112
1/20/2020,High,BOPF,2020,4,1,NE_Monsoon,978.4510288,181.3858429,5.39430759,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.194908582,2.557797704
1/20/2020,Medium,BOPF,2020,4,1,NE_Monsoon,787.7637847,181.3858429,4.343027947,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.194908582,2.557797704
1/20/2020,Low,BOPF,2020,4,1,NE_Monsoon,818.2946103,181.3858429,4.511347729,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.194908582,2.557797704
1/27/2020,High,BOPF,2020,5,1,NE_Monsoon,1011.527418,181.5372143,5.57201135,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.144600355,2.623310136
1/27/2020,Medium,BOPF,2020,5,1,NE_Monsoon,844.2285513,181.5372143,4.650443462,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.144600355,2.623310136
1/27/2020,Low,BOPF,2020,5,1,NE_Monsoon,764.7803282,181.5372143,4.212801938,1/1/2020,5085.17085,13338.05207,3519.68875,21942.91167,1/1/2020,22094423.67,985.0558258,1/1/2020,57.04644681,138.42,0,3.144600355,2.623310136
2/3/2020,High,BOPF,2020,6,2,Inter,996.7914656,181.3858857,5.495419126,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.220527545,2.501813485
2/3/2020,Medium,BOPF,2020,6,2,Inter,853.9321792,181.3858857,4.707820434,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.220527545,2.501813485
2/3/2020,Low,BOPF,2020,6,2,Inter,754.0762915,181.3858857,4.157304128,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.220527545,2.501813485
2/10/2020,High,BOPF,2020,7,2,Inter,889.0717223,181.4340571,4.900247155,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.220104027,2.586599135
2/10/2020,Medium,BOPF,2020,7,2,Inter,894.7290156,181.4340571,4.931428144,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.220104027,2.586599135
2/10/2020,Low,BOPF,2020,7,2,Inter,770.5746407,181.4340571,4.247133382,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.220104027,2.586599135
2/17/2020,High,BOPF,2020,8,2,Inter,984.0952958,181.7456286,5.414684818,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.156958002,2.723901957
2/17/2020,Medium,BOPF,2020,8,2,Inter,790.6737734,181.7456286,4.350441766,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.156958002,2.723901957
2/17/2020,Low,BOPF,2020,8,2,Inter,839.2814861,181.7456286,4.61789091,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.156958002,2.723901957
2/24/2020,High,BOPF,2020,9,2,Inter,977.4884545,181.7822714,5.377248544,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.259181923,2.545515159
2/24/2020,Medium,BOPF,2020,9,2,Inter,847.6430028,181.7822714,4.662957483,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.259181923,2.545515159
2/24/2020,Low,BOPF,2020,9,2,Inter,856.3082499,181.7822714,4.710625757,2/1/2020,4548.531,10276.6823,3388.07985,18213.29315,2/1/2020,23656994.72,1310.100278,2/1/2020,22.96531167,75.96,0,3.259181923,2.545515159
3/2/2020,High,BOPF,2020,10,3,Inter,947.5037684,181.9883429,5.206398132,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.216496385,2.708387614
3/2/2020,Medium,BOPF,2020,10,3,Inter,777.466065,181.9883429,4.272065193,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.216496385,2.708387614
3/2/2020,Low,BOPF,2020,10,3,Inter,731.7647465,181.9883429,4.020942963,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.216496385,2.708387614
3/9/2020,High,BOPF,2020,11,3,Inter,824.1426694,182.4426714,4.517269249,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.230955723,2.712671263
3/9/2020,Medium,BOPF,2020,11,3,Inter,902.4698275,182.4426714,4.94659402,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.230955723,2.712671263
3/9/2020,Low,BOPF,2020,11,3,Inter,731.2586557,182.4426714,4.008155822,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.230955723,2.712671263
3/16/2020,High,BOPF,2020,12,3,Inter,909.1595561,185.3353571,4.905483606,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.272445822,2.749662664
3/16/2020,Medium,BOPF,2020,12,3,Inter,903.6235066,185.3353571,4.875613162,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.272445822,2.749662664
3/16/2020,Low,BOPF,2020,12,3,Inter,675.7015985,185.3353571,3.645832122,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.272445822,2.749662664
3/23/2020,High,BOPF,2020,13,3,Inter,979.4486146,188.6071429,5.193062149,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.168043061,2.586989511
3/23/2020,Medium,BOPF,2020,13,3,Inter,746.7792598,188.6071429,3.95944315,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.168043061,2.586989511
3/23/2020,Low,BOPF,2020,13,3,Inter,720.2028297,188.6071429,3.818534223,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.168043061,2.586989511
3/30/2020,High,BOPF,2020,14,3,Inter,883.7679085,190.3257,4.643450193,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.364488076,2.561164889
3/30/2020,Medium,BOPF,2020,14,3,Inter,923.0987814,190.3257,4.850100545,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.364488076,2.561164889
3/30/2020,Low,BOPF,2020,14,3,Inter,829.4772395,190.3257,4.358198811,3/1/2020,3442.72329,7395.23823,2688.07541,13526.03693,3/1/2020,13827924.87,1057.85303,3/1/2020,34.23583809,81.54,0,3.364488076,2.561164889
4/6/2020,High,BOPF,2020,15,4,Inter,912.8822436,198.1490571,4.607048132,4/1/2020,4180.45775,13563.44394,3078.74435,20822.64604,4/1/2020,18157876.76,801.7968498,4/1/2020,165.5750692,69.34,0,3.237110077,2.810083328
4/6/2020,Medium,BOPF,2020,15,4,Inter,875.0366621,198.1490571,4.416052616,4/1/2020,4180.45775,13563.44394,3078.74435,20822.64604,4/1/2020,18157876.76,801.7968498,4/1/2020,165.5750692,69.34,0,3.237110077,2.810083328
